blueprint_id,nivel,unidade_id,carga_horas,encontros_referencia,pergunta_essencial,alvos_aprendizagem,conceitos_semanticos,pre_requisitos_conceituais,escala_territorial,evidencias_entrada,atividade_nucleo,produto_aprendizagem,evidencia_avaliacao,vinculo_ocue,mappings_crmg_2026,status_curricular
BP-N1-U1,N1,U1,2,2,"Como a cidade muda e o que direitos, deveres e bem comum têm a ver com os lugares que usamos?","reconhecer transformações urbanas; diferenciar direito de desejo individual; relacionar cuidado coletivo a deveres","cidade;território;paisagem;pertencimento;direito;dever;bem comum","nenhum","escola;entorno imediato;município","fotografias históricas/atuais;croqui;relatos contextualizados","comparar lugares e construir mapa mental de usos, pessoas, mudanças e responsabilidades","Mapa mental Cidade que vivemos","explicação oral/escrita com pelo menos uma mudança observável e uma relação direito-dever","tema_urbano;direito_dever;territorio","MG001;MG002;MG005",PARCIAL_CRMG_3T_PENDENTE
BP-N1-U2,N1,U2,3,3,"Como podemos observar e representar o território sem confundir o que vimos com o que concluímos?","distinguir observação, fonte e interpretação; representar localização; identificar funções de infraestrutura e ambiente","observação;evidência;fonte;mapa;escala simples;infraestrutura;serviço;ambiente","U1: território coletivo e situações direito-dever","entorno escolar seguro","fotografia sem pessoa identificável;croqui;mapa-base;ficha de observação","caminhada guiada ou observação remota de pontos do entorno e classificação descritiva","Inventário ilustrado do entorno","ficha com local, descrição factual, fonte e função do elemento observado","observacao;evidencia;tema_urbano;territorio","MG003;MG006",PARCIAL_CRMG_3T_PENDENTE
BP-N1-U3,N1,U3,3,3,"Todos conseguem usar a cidade do mesmo jeito e quem cuida de cada questão?","comparar condições entre pontos; reconhecer barreiras/desigualdades; identificar que órgãos possuem funções diferentes; evitar generalização","desigualdade;barreira;acessibilidade;risco;serviço público;competência institucional","U1: direitos/deveres;U2: evidência e mapa","entorno escolar;município","inventário U2;mapa simples;informação oficial selecionada pelo professor","comparar dois ou mais pontos e montar quadro problema-quem é afetado-quem pode atuar","Quadro de prioridades do território","justificativa de prioridade apoiada em evidência e sem estigmatização","observacao;tema_urbano;direito_dever;proposta","MG004;MG007",PARCIAL_CRMG_3T_PENDENTE
BP-N1-U4,N1,U4,4,4,"Como transformar uma observação em uma proposta coletiva respeitosa e acompanhar o que acontece depois?","formular proposta proporcional; identificar canal adequado com mediação; comunicar argumento; registrar acompanhamento","proposta;participação;canal;protocolo;resposta;acompanhamento","U1-U3 consolidadas","escola;comunidade;município","prioridades U3;modelo de canal;exemplos de comunicação cidadã","selecionar questão segura, formular proposta e realizar simulação ou encaminhamento autorizado","Mapa Cidadão do Entorno + proposta coletiva","rubrica integradora do Ciclo com coerência observação-evidência-proposta-canal","observacao;evidencia;ods;direito_dever;proposta;participacao;acompanhamento","MG009;MG005;MG007;MG008",PARCIAL_CRMG_3T_PENDENTE
BP-N2-U1,N2,U1,3,3,"Como diferentes agentes e processos transformam a cidade e como isso afeta direitos, usos e pertencimento?","analisar transformação do espaço; reconhecer agentes; explicar relações entre Estado, território e direitos em caso concreto","produção do espaço;agente;rede;uso do solo;Estado;direito;função social","conceitos elementares de lugar, paisagem e cidadania","bairro;município;região","mapas históricos;imagens;texto normativo introdutório;dados territoriais","estudo de caso sobre transformação urbana com linha do tempo e agentes","Linha do tempo territorial comentada","argumento que articula mudança, agente, território e efeito coletivo","territorio;tema_urbano;direito_dever","MG010;MG011",VERIFICADO_CRMG_2026
BP-N2-U2,N2,U2,4,4,"Como mapas, dados e observações ajudam a compreender sistemas urbanos e ambientais?","interpretar mapa/gráfico; registrar fonte e escala; descrever sistema urbano; distinguir padrão observado de causa","dado;indicador;mapa temático;escala;fonte;sistema urbano;água;drenagem;serviço","U1: agentes e território","bairro;município;comparação regional","mapas temáticos;gráficos;dados públicos;observações;imagens","construir painel de evidências sobre um sistema urbano selecionado","Painel de evidências territoriais","rubrica de letramento de dados, fonte, escala, legenda e limite inferencial","observacao;evidencia;tema_urbano;ods","MG012;MG013;MG014;MG015;MG016",VERIFICADO_CRMG_2026
BP-N2-U3,N2,U3,4,4,"Por que problemas e oportunidades urbanas se distribuem de forma desigual e como a governança interfere nisso?","identificar padrão de desigualdade; analisar grupo/território afetado; relacionar problema a competência institucional; comparar alternativa","segregação socioespacial;vulnerabilidade;risco;equidade;Estado;competência;política pública","U1: agentes/Estado;U2: evidência/escala","bairro;município;cidades comparadas","painel U2;dados populacionais;mapas de risco/infraestrutura;fonte institucional","produzir matriz território-impacto-grupo-agente e discutir alternativas","Matriz de justiça territorial e governança","justificativa que combina evidência espacial, grupo afetado e competência sem causalidade indevida","observacao;evidencia;direito_dever;tema_urbano;proposta","MG017;MG018;MG019;MG020",VERIFICADO_CRMG_2026
BP-N2-U4,N2,U4,5,5,"Como construir uma proposta pública argumentada, encaminhá-la de modo responsável e acompanhar o processo?","sintetizar evidências; formular proposta; selecionar canal; comunicar argumento; acompanhar resposta e revisar hipótese","argumentação;evidência;proposta;participação;competência;protocolo;monitoramento","U1-U3 consolidadas","território escolar;município","mapas/dados U2;matriz U3;documentos/canais públicos","desenvolver investigação territorial completa com encaminhamento simulado ou autorizado","Dossiê Territorial Escolar","rubrica integradora de rastreabilidade, coerência, comunicação e reflexão","observacao;evidencia;ods;direito_dever;proposta;participacao;acompanhamento","MG021;MG022;MG012;MG013;MG018;MG020",VERIFICADO_COM_SUPORTE_TRANSVERSAL
BP-N3-U1,N3,U1,4,4,"Quem produz o espaço urbano, com quais interesses, direitos e responsabilidades?","problematizar agentes/poder; analisar fontes divergentes; fundamentar relação entre território, direitos humanos e função social","territorialidade;agente;poder;interesse;função social;direitos humanos;justiça territorial","cidadania, território e leitura de fontes","município;região;Brasil","documentos públicos;mapas;dados;legislação selecionada;notícias como fonte secundária","analisar caso urbano por mapa de agentes, interesses, direitos e evidências","Nota analítica territorial","matriz argumento-evidência-fonte com distinção normativa e empírica","territorio;evidencia;direito_dever;tema_urbano","MG023;MG024;MG025;MG026",VERIFICADO_CRMG_2026
BP-N3-U2,N3,U2,5,5,"Como construir uma análise territorial confiável combinando fontes, cartografia e sistemas urbanos?","formular pergunta; triangular fontes; analisar dados quantitativos/qualitativos; mapear sistema e impactos; explicitar incerteza","hipótese;evidência;triangulação;escala;incerteza;cartografia;sistema urbano;impacto socioambiental","U1: agentes/direitos/fontes","município;subárea urbana;comparações externas","dados oficiais;indicadores;mapas;observação;documentos;fotografias autorizadas","laboratório de evidências e cartografia aplicado a questão urbana","Matriz de evidências + mapa analítico","rubrica de validade da evidência, escala, triangulação e limite","observacao;evidencia;tema_urbano;ods;territorio","MG027;MG028;MG029;MG030",VERIFICADO_CRMG_2026
