nivel,eixo_codigo,verbo_cognitivo_dominante,resultado_esperado,produto_evidencia,etapas_ciclo_dominantes
N1,E1,RECONHECER,"Reconhecer formas, funções, paisagens e transformações da cidade a partir do lugar de vivência.","mapa mental ou croqui comentado","CONHECER;OBSERVAR"
N1,E2,RELACIONAR,"Relacionar situações concretas do cotidiano a direitos, deveres, bem comum e cuidado com a cidade.","quadro situação-direito-dever","CONHECER;CLASSIFICAR"
N1,E3,REPRESENTAR,"Registrar observações e diferenciar fotografia, desenho, mapa, relato e dado como formas distintas de evidência.","ficha de observação + mapa simples","OBSERVAR;MAPEAR"
N1,E4,IDENTIFICAR,"Identificar infraestrutura, serviços, equipamentos e elementos ambientais do entorno e descrever sua função.","inventário territorial guiado","OBSERVAR;MAPEAR;CLASSIFICAR"
N1,E5,COMPARAR,"Comparar condições de acesso, segurança, mobilidade e qualidade urbana entre pontos do entorno sem generalizações indevidas.","quadro comparativo territorial","MAPEAR;CLASSIFICAR"
N1,E6,RECONHECER,"Reconhecer que diferentes órgãos e regras públicas organizam serviços e decisões da cidade.","mapa simples de quem cuida do quê","CONHECER;CLASSIFICAR"
N1,E7,COMUNICAR,"Construir coletivamente uma mensagem ou proposta respeitosa e identificar um canal público adequado com mediação docente.","carta ou simulação de protocolo","PROPOR;PARTICIPAR"
N1,E8,INTEGRAR,"Aplicar de forma guiada o Ciclo de Cidadania Urbana a uma questão segura e próxima da escola.","Mapa Cidadão do Entorno","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR"
N2,E1,ANALISAR,"Analisar a produção e transformação do espaço urbano relacionando agentes, usos, redes, trabalho e paisagem.","linha do tempo territorial + mapa temático","CONHECER;OBSERVAR"
N2,E2,EXPLICAR,"Explicar relações entre cidadania, direitos/deveres, função social, moradia, uso do solo e cidade sustentável em casos concretos.","estudo de caso comentado","CONHECER;CLASSIFICAR"
N2,E3,INTERPRETAR,"Interpretar e produzir mapas, gráficos e registros digitais, avaliando fonte, escala e limite de inferência.","painel de evidências territoriais","OBSERVAR;MAPEAR;CLASSIFICAR"
N2,E4,DIAGNOSTICAR,"Descrever padrões territoriais de infraestrutura, serviços e ambiente por meio de indicadores simples e observações verificáveis.","mapa temático + síntese diagnóstica cidadã","OBSERVAR;MAPEAR;CLASSIFICAR"
N2,E5,ANALISAR,"Analisar desigualdades, segregação, barreiras, vulnerabilidade e riscos, identificando grupos e áreas mais afetados.","matriz território-impacto-grupo","MAPEAR;CLASSIFICAR;PROPOR"
N2,E6,RELACIONAR,"Relacionar problema urbano, política pública, competência institucional e instrumento de planejamento sem substituir análise técnica.","matriz problema-agente-instrumento","CONHECER;CLASSIFICAR;PROPOR"
N2,E7,ARGUMENTAR,"Elaborar proposta argumentada, escolher canal de participação e acompanhar resposta ou ausência de resposta.","protocolo simulado ou autorizado + registro de acompanhamento","PROPOR;PARTICIPAR;ACOMPANHAR"
N2,E8,INVESTIGAR,"Executar investigação territorial escolar com pergunta, evidências, mapa, classificação, proposta e acompanhamento.","Dossiê Territorial Escolar","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR"
N3,E1,PROBLEMATIZAR,"Problematizar a produção do espaço e das territorialidades relacionando poder, agentes, economia, cultura, ambiente e juventudes.","ensaio cartográfico interpretativo","CONHECER;OBSERVAR"
N3,E2,FUNDAMENTAR,"Fundamentar análise introdutória de direitos urbanos, função social e justiça territorial articulando Constituição, Estatuto da Cidade e evidências locais.","nota analítica cidadã","CONHECER;CLASSIFICAR"
N3,E3,AVALIAR,"Selecionar e triangular fontes qualitativas e quantitativas, mapas e dados oficiais, explicitando qualidade, escala, incerteza e limites.","matriz de evidências e confiabilidade","OBSERVAR;MAPEAR;CLASSIFICAR"
N3,E4,ANALISAR,"Analisar sistemas urbanos e impactos socioambientais, distinguindo causas, sintomas, responsabilidades e alternativas.","diagnóstico cidadão multitemático","OBSERVAR;MAPEAR;CLASSIFICAR"
N3,E5,ARGUMENTAR,"Argumentar sobre desigualdade, acessibilidade, risco e justiça territorial a partir de dados, direitos humanos e grupos afetados.","mapa de desigualdade + argumento público","MAPEAR;CLASSIFICAR;PROPOR"
N3,E6,AVALIAR,"Avaliar políticas, planejamento, instrumentos e governança em nível introdutório, diferenciando competência legal, decisão política e execução administrativa.","matriz política-evidência-resultado","CONHECER;CLASSIFICAR;PROPOR"
N3,E7,DELIBERAR,"Construir estratégia de participação baseada em evidências, competência institucional, pluralidade e comunicação pública responsável.","plano de participação e controle social","PROPOR;PARTICIPAR;ACOMPANHAR"
N3,E8,INTERVIR,"Desenvolver Projeto Cidadão Urbano com pergunta investigativa, dados, cartografia, análise, proposta, participação e avaliação dos desdobramentos.","Projeto Cidadão Urbano + relatório OCUE","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR"
