linha_id,artefato_id,unidade_id,objetivo_aprendizagem,competencia_geral_bncc,competencia_especifica_bncc,habilidade_bncc,habilidade_rede_codigo,habilidade_rede_descricao,objeto_conhecimento_conteudo,tct_macroarea,tct_tema,diretriz_edh,diretriz_educacao_ambiental,ods_codigo,tema_ocue_codigo,etapa_ciclo,contexto_territorial,atividade_estudante,evidencia_aprendizagem,instrumento_avaliacao,criterio_avaliacao,justificativa_alinhamento,fonte_curricular,url_fonte,data_verificacao,status_validacao
N1-E1,DDC_CP_V1,E1,"Reconhecer formas, funções, paisagens e transformações da cidade a partir do lugar de vivência.","CG1;CG2","Geografia EF","EF05GE03;EF05GE04;EF05GE08",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Formas e funções das cidades; representação das cidades e do espaço urbano","Cidadania e Civismo","Vida familiar e social; educação em direitos humanos","EDH_TRANSVERSAL",NA,"11","USO_OCUPACAO_SOLO;PATRIMONIO_PAISAGEM","CONHECER;OBSERVAR","entorno e município","comparar paisagens e produzir croqui","croqui comentado","rubrica de leitura territorial","reconhece transformação sem confundir observação e causa","As habilidades tratam diretamente de formas/funções urbanas e transformação/representação da paisagem.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E2,DDC_CP_V1,E2,"Relacionar situações urbanas concretas a direitos, deveres, bem comum e cidade sustentável.","CG7;CG9;CG10","Geografia EF","EF05GE11;EF05GE12",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Gestão pública da qualidade de vida e problemas do entorno","Cidadania e Civismo","Educação em direitos humanos","EDH_TRANSVERSAL",NA,"10;11;16","HABITACAO_REURB;GOVERNANCA_PARTICIPACAO","CONHECER;CLASSIFICAR","comunidade escolar","classificar situações por direito/dever","quadro situação-direito-dever","rubrica conceitual","relaciona direito e responsabilidade sem linguagem jurídica inadequada","EF05GE12 explicita órgãos públicos, participação, moradia e direito à cidade.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E3,DDC_CP_V1,E3,"Registrar observações e distinguir mapa, fotografia, relato e dado como evidências de naturezas diferentes.","CG2;CG5","Geografia EF","EF05GE08;EF05GE09",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Mapas, imagens e representação espacial","Ciência e Tecnologia","Ciência e tecnologia","EDH_NAO_CENTRAL",NA,"4;11","CONECTIVIDADE_INOVACAO","OBSERVAR;MAPEAR;CLASSIFICAR","entorno escolar","registro e localização guiada","ficha de evidência e mapa","checklist de fonte e localização","identifica fonte e não extrapola o que a evidência mostra","As habilidades mobilizam imagens, mapas temáticos e representações gráficas.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E4,DDC_CP_V1,E4,"Identificar sistemas urbanos e ambientais do entorno e descrever sua função na qualidade de vida.","CG1;CG2;CG10","Geografia EF","EF05GE10;EF05GE11;EF05GE12",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Qualidade ambiental; gestão pública da qualidade de vida","Meio Ambiente;Saúde","Educação ambiental; saúde","EDH_TRANSVERSAL","EA_INTEGRADA","3;6;11;12;13;15","MOBILIDADE_ACESSIBILIDADE;AGUA_ESGOTO;DRENAGEM_ALAGAMENTOS;RESIDUOS_LIMPEZA;MEIO_AMBIENTE_AREAS_VERDES;EQUIPAMENTOS_SERVICOS","OBSERVAR;MAPEAR;CLASSIFICAR","entorno escolar","inventário territorial guiado","mapa de recursos e ocorrências","rubrica de observação","descreve função e condição com evidência suficiente","BNCC relaciona qualidade ambiental, problemas do entorno e gestão pública.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E5,DDC_CP_V1,E5,"Comparar condições urbanas entre pontos do entorno e reconhecer barreiras e riscos sem generalização.","CG2;CG9;CG10","Geografia EF","EF05GE02;EF05GE11",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Desigualdades sociais e problemas ambientais do entorno","Cidadania e Civismo","Educação em direitos humanos","EDH_EQUIDADE",EA_QUANDO_APLICAVEL,"5;10;11;13","DESIGUALDADES_TERRITORIAIS;RISCOS_CLIMA;MOBILIDADE_ACESSIBILIDADE","MAPEAR;CLASSIFICAR","entorno escolar","comparação de dois ou mais pontos","quadro comparativo","rubrica de comparação","distingue diferença observada de inferência sobre todo o bairro","Combina desigualdades entre grupos/territórios e problemas observáveis no entorno.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E6,DDC_CP_V1,E6,"Reconhecer órgãos e canais públicos relacionados à melhoria da qualidade de vida.","CG7;CG10","Geografia EF","EF05GE12",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Gestão pública da qualidade de vida","Cidadania e Civismo","Educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","GOVERNANCA_PARTICIPACAO;EQUIPAMENTOS_SERVICOS","CONHECER;CLASSIFICAR;PROPOR","município e comunidade","mapa de quem cuida do quê","quadro órgão-função-canal","avaliação de adequação institucional","seleciona canal coerente com a questão apresentada","A habilidade explicita órgãos do poder público e canais de participação.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E7,DDC_CP_V1,E7,"Comunicar proposta coletiva respeitosa e participar de simulação ou encaminhamento guiado.","CG7;CG9;CG10","Geografia EF","EF05GE12",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Participação social e qualidade de vida","Cidadania e Civismo","Vida familiar e social; educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","GOVERNANCA_PARTICIPACAO","PROPOR;PARTICIPAR;ACOMPANHAR","escola/comunidade","redigir mensagem coletiva guiada","carta/protocolo simulado","rubrica de comunicação cidadã","argumento respeitoso, objetivo e baseado em observação","A habilidade sustenta reconhecimento e discussão de canais e propostas públicas.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N1-E8,DDC_CP_V1,E8,"Integrar observação, mapa, classificação, proposta e participação no Mapa Cidadão do Entorno.","CG1;CG2;CG5;CG7;CG9;CG10","Geografia EF","EF05GE03;EF05GE08;EF05GE11;EF05GE12",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Cidade, representação, problemas ambientais e gestão pública","Cidadania e Civismo;Meio Ambiente;Ciência e Tecnologia","Educação ambiental; educação em direitos humanos","EDH_TRANSVERSAL","EA_INTEGRADA","4;11;16;17","GOVERNANCA_PARTICIPACAO;CONECTIVIDADE_INOVACAO","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR","entorno escolar","projeto integrador","Mapa Cidadão do Entorno","rubrica integradora","coerência entre observação, evidência, proposta e canal","Integra habilidades urbanas, cartográficas, ambientais e participativas do 5º ano.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E1,DDC_CP_V1,E1,"Analisar produção e transformação do espaço urbano relacionando agentes, redes, trabalho e paisagem.","CG1;CG2","Geografia EF","EF06GE01;EF06GE07;EF07GE07",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Transformação da paisagem; surgimento das cidades; redes territoriais","Cidadania e Civismo","Vida familiar e social","EDH_TRANSVERSAL",NA,"8;9;11","USO_OCUPACAO_SOLO;ECONOMIA_TRABALHO_LOCAL;PATRIMONIO_PAISAGEM","CONHECER;OBSERVAR","município e escalas comparativas","linha do tempo e mapa de redes","produto cartográfico interpretativo","rubrica de relações causais","relaciona agentes e processos sem monocausalidade","As habilidades permitem conectar mudanças urbanas, sociedade-natureza e redes territoriais.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E2,DDC_CP_V1,E2,"Explicar direitos/deveres e função social a partir de casos territoriais e grupos sociais.","CG7;CG9;CG10","Geografia EF","EF07GE03;EF08GE17",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Territorialidades, direitos legais e segregação socioespacial","Cidadania e Civismo","Educação em direitos humanos","EDH_DIREITOS_E_EQUIDADE",NA,"10;11;16","HABITACAO_REURB;DESIGUALDADES_TERRITORIAIS","CONHECER;CLASSIFICAR","territórios urbanos comparados","estudo de caso","análise direito-dever-território","rubrica conceitual","fundamenta relação com direitos sem presumir conclusão jurídica","A BNCC reconhece direitos territoriais de comunidades e analisa segregação urbana.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
