criterio_id,dimensao,pergunta_de_validacao,peso,condicao_critica,evidencia_exigida,resultado,observacao
R01,Conformidade normativa,"As fontes normativas aplicáveis estão identificadas, vigentes e verificadas dentro da janela de 90 dias?",5,SIM,"matriz normativa + data de verificação",,
R02,Enquadramento curricular,"A forma de inserção curricular está explicitada e é compatível com a rede/escola?",5,SIM,"registro de modo de inserção + norma/currículo/PP",,
R03,Alinhamento BNCC/rede,"Objetivos e atividades estão vinculados semanticamente às competências/habilidades pertinentes?",5,SIM,"matriz de alinhamento preenchida",,
R04,Desenvolvimento integral,"O material mobiliza dimensões cognitivas, éticas, sociais e cidadãs compatíveis com a etapa?",3,NAO,"objetivos + atividades",,
R05,Progressão,"Há progressão coerente da aprendizagem e complexidade adequada à faixa etária?",4,NAO,"sequência/unidades",,
R06,Contextualização territorial,"O conteúdo conecta aprendizagens ao território sem converter percepção em diagnóstico técnico não validado?",4,SIM,"atividade territorial + nível de evidência",,
R07,Rigor conceitual,"Conceitos jurídicos, urbanísticos, ambientais e cidadania estão corretos, atualizados e adequados pedagogicamente?",5,SIM,"fundamentação + fontes",,
R08,Coerência didática,"Objetivos, metodologia, atividade, evidência e avaliação estão coerentes entre si?",5,SIM,"sequência + matriz curricular",,
R09,Aprendizagem ativa,"O estudante observa, analisa, argumenta, produz ou decide, em vez de apenas receber informação?",3,NAO,"atividade discente",,
R10,Interdisciplinaridade/transversalidade,"As relações entre áreas e temas transversais são reais e justificadas?",3,NAO,"matriz de alinhamento",,
R11,ODS,"O vínculo com ODS é justificado pelo problema/conteúdo, sem associação automática?",3,NAO,"linha observação×ODS ou matriz curricular",,
R12,Direitos humanos,"Quando aplicável, a abordagem observa princípios de educação em direitos humanos e cultura democrática?",4,SIM,"fundamentação/atividade",,
R13,Educação ambiental,"Quando aplicável, a educação ambiental é tratada de forma integrada, contínua e não artificialmente isolada?",5,SIM,"matriz + metodologia",,
R14,Avaliação formativa,"Existem critérios, instrumentos, evidências e devolutiva coerentes com os objetivos?",4,SIM,"plano de avaliação/rubrica",,
R15,Inclusão e acessibilidade,"Barreiras e adaptações foram analisadas sem reduzir o direito de aprendizagem?",5,SIM,"seção de acessibilidade",,
R16,Equidade e diversidade,"O material respeita diversidade territorial, cultural, social e evita estereótipos/discriminação?",5,SIM,"revisão pedagógica",,
R17,Privacidade e melhor interesse,"Dados, imagens, geolocalização e plataformas estão minimizados e protegidos, especialmente para menores?",5,SIM,"checklist de privacidade",,
R18,Governança institucional,"As aprovações, responsáveis e registros exigíveis estão definidos?",5,SIM,"fluxo de aprovação",,
R19,Normalização documental,"Metadados, versão, fontes, citações e referências seguem o padrão documental interno aplicável?",2,NAO,"controle documental",,
R20,Replicabilidade,"Outro aplicador qualificado consegue executar o material sem depender de conhecimento implícito do autor?",4,SIM,"template completo + instruções",,
R21,Monitoramento,"O piloto prevê indicadores e rotina de revisão pós-aplicação?",3,NAO,"PAP + relatório pós-aplicação",,
R22,Rastreabilidade,"É possível reconstruir fonte, decisão curricular, versão, aplicação e alterações realizadas?",5,SIM,"IDs, histórico e repositório",,
