mapping_id,nivel,eixo_codigo,ano_escolar,trimestre,componente,habilidade_crmg_codigo,resumo_semantico,forca_relacao,fonte_documento,fonte_url,data_verificacao,status
MG001,N1,E1,5EF,1,Geografia,EF05GE03,"formas e funções das cidades e mudanças urbanas",FORTE,"Plano de Curso Geografia 5º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1JMOP4EeNFjoXy231hmAPghaFCFrHswm_/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG002,N1,E1,5EF,1,Geografia,EF05GE04,"relações entre cidade e campo e redes de funções urbanas",FORTE,"Plano de Curso Geografia 5º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1JMOP4EeNFjoXy231hmAPghaFCFrHswm_/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG003,N1,E3,5EF,2,Geografia,EF05GE08X,"representações cartográficas e leitura do espaço",FORTE,"Plano de Curso Geografia 5º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1EzL8zp_lqorUCXlWWOQMQ7bJsJL_W7Oy/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG004,N1,E5,5EF,1,Geografia,EF05GE02,"desigualdades sociais entre grupos em diferentes territórios",FORTE,"Plano de Curso Geografia 5º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1JMOP4EeNFjoXy231hmAPghaFCFrHswm_/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG005,N1,E2,5EF,NA,Geografia,EF05GE12,"gestão pública, órgãos, canais de participação, moradia e direito à cidade",FORTE,"CRMG - habilidade curricular; trimestre 2026 ainda não auditado em Plano de Curso",NA,2026-08-26,AGUARDA_AUDITORIA_PLANO_3T_2026
MG006,N1,E4,5EF,NA,Geografia,EF05GE10;EF05GE11,"qualidade ambiental e problemas ambientais do entorno",FORTE,"CRMG - habilidades curriculares; trimestre 2026 ainda não auditado em Plano de Curso",NA,2026-08-26,AGUARDA_AUDITORIA_PLANO_3T_2026
MG007,N1,E6,5EF,NA,Geografia,EF05GE12,"órgãos públicos e participação relacionados à qualidade de vida e direito à cidade",FORTE,"CRMG - habilidade curricular; trimestre 2026 ainda não auditado em Plano de Curso",NA,2026-08-26,AGUARDA_AUDITORIA_PLANO_3T_2026
MG008,N1,E7,5EF,NA,Geografia,EF05GE12,"canais de participação e propostas públicas que afetam a comunidade",FORTE,"CRMG - habilidade curricular; trimestre 2026 ainda não auditado em Plano de Curso",NA,2026-08-26,AGUARDA_AUDITORIA_PLANO_3T_2026
MG009,N1,E8,5EF,NA,Geografia,EF05GE03;EF05GE08X;EF05GE12,"integra cidade, cartografia e participação em projeto territorial",INTEGRADORA,"Planos 1º/2º trimestre verificados; componente participativo aguarda auditoria do 3º trimestre",NA,2026-08-26,PARCIAL_AGUARDA_3T_2026
MG010,N2,E1,6EF,1,Geografia,EF06GE01X,"modificações das paisagens rurais e urbanas e usos dos lugares ao longo do tempo",FORTE,"Plano de Curso Geografia 6º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1fu6X5fAZuy78Qq_fioKO4o2f17WXV5-a/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG011,N2,E2,7EF,1,Geografia,EF07GE01,"papel do Estado na organização territorial e funcionamento dos poderes nos níveis federativos",FORTE,"Plano de Curso Geografia 7º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1I61tGfBroXRYiaktf9wDh4lfq2ZO8xPz/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG012,N2,E3,9EF,2,Geografia,EF09GE14,"elaboração e interpretação de gráficos, mapas, croquis e anamorfoses para analisar desigualdades",FORTE,"Plano de Curso Geografia 9º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1qUUUgm7QfryC26Lgak5yIaQI5xQ8UqV8/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG013,N2,E3,9EF,2,Geografia,EF09GE15,"comparação e classificação de regiões com dados populacionais, econômicos e socioambientais em mapas",FORTE,"Plano de Curso Geografia 9º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1qUUUgm7QfryC26Lgak5yIaQI5xQ8UqV8/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG014,N2,E4,6EF,2,Geografia,EF06GE04,"ciclo da água e comparação do escoamento superficial urbano e rural",FORTE,"Plano de Curso Geografia 6º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1kJn7DRtaBlrurDa52Mx0FvWzpVQdttne/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG015,N2,E4,6EF,2,Geografia,EF06GE12X,"consumo de recursos hídricos e transformações em ambientes urbanos e rurais",FORTE,"Plano de Curso Geografia 6º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1kJn7DRtaBlrurDa52Mx0FvWzpVQdttne/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG016,N2,E4,8EF,2,Geografia,EF08GE16X,"problemáticas das grandes cidades latino-americanas, condições de vida e trabalho e direitos sociais",FORTE,"Plano de Curso Geografia 8º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/13WC6KItt_gY5wlopJwk0r4cPhO0PhZzq/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG017,N2,E5,7EF,2,Geografia,EF07GE04,"distribuição territorial da população e diversidade com aspectos de renda, sexo e idade",FORTE,"Plano de Curso Geografia 7º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1Z6ma5jWF3yJcyRnJ2ruiCN-oqo3hizb0/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG018,N2,E5,8EF,2,Geografia,EF08GE17,"segregação socioespacial em ambientes urbanos, favelas, alagados e zonas de risco",FORTE,"Plano de Curso Geografia 8º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/13WC6KItt_gY5wlopJwk0r4cPhO0PhZzq/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
