ods_numero,ods_nome
1,Erradicação da Pobreza
2,Fome Zero e Agricultura Sustentável
3,Saúde e Bem-Estar
4,Educação de Qualidade
5,Igualdade de Gênero
6,Água Potável e Saneamento
7,Energia Limpa e Acessível
8,Trabalho Decente e Crescimento Econômico
9,Indústria Inovação e Infraestrutura
10,Redução das Desigualdades
11,Cidades e Comunidades Sustentáveis
12,Consumo e Produção Responsáveis
13,Ação Contra a Mudança Global do Clima
14,Vida na Água
15,Vida Terrestre
16,Paz Justiça e Instituições Eficazes
17,Parcerias e Meios de Implementação
