cell_id,nivel,eixo_codigo,cobertura_status,mappings_verificados,mappings_pendentes,forca_maxima,observacao
N1-E1,N1,E1,VERIFICADO_PLANO_CURSO_2026,"MG001;MG002",,FORTE,"Cidade, funções e transformações urbanas verificadas no Plano de Curso 2026 do 5º ano."
N1-E2,N1,E2,AGUARDA_AUDITORIA_PLANO_3T_2026,,MG005,FORTE,"A âncora EF05GE12 consta do CRMG/BNCC e é semanticamente direta, mas ainda não foi localizada nos Planos de Curso 2026 do 1º/2º trimestre auditados."
N1-E3,N1,E3,VERIFICADO_PLANO_CURSO_2026,MG003,,FORTE,"Representação cartográfica verificada como EF05GE08X no Plano de Curso 2026 do 2º trimestre."
N1-E4,N1,E4,AGUARDA_AUDITORIA_PLANO_3T_2026,,MG006,FORTE,"Qualidade ambiental e problemas do entorno dependem da auditoria do trimestre de distribuição das habilidades EF05GE10/11."
N1-E5,N1,E5,VERIFICADO_PLANO_CURSO_2026,MG004,,FORTE,"Desigualdades entre grupos e territórios verificadas no Plano de Curso 2026 do 1º trimestre."
N1-E6,N1,E6,AGUARDA_AUDITORIA_PLANO_3T_2026,,MG007,FORTE,"Gestão pública e competência institucional dependem da verificação de EF05GE12 no Plano de Curso 2026 correspondente."
N1-E7,N1,E7,AGUARDA_AUDITORIA_PLANO_3T_2026,,MG008,FORTE,"Canais de participação e propostas públicas dependem da verificação de EF05GE12 no Plano de Curso 2026 correspondente."
N1-E8,N1,E8,PARCIAL_AGUARDA_3T_2026,"MG001;MG003;MG004",MG009,INTEGRADORA,"Cidade, mapa e desigualdade estão verificados; o componente participativo integrador aguarda auditoria do trimestre final."
N2-E1,N2,E1,VERIFICADO_PLANO_CURSO_2026,MG010,,FORTE,"Paisagens urbanas/rurais e usos dos lugares verificados no 6º ano."
N2-E2,N2,E2,VERIFICADO_PLANO_CURSO_2026,MG011,,FORTE,"Estado, organização territorial e poderes oferecem base direta à dimensão de direitos/deveres e institucionalidade."
N2-E3,N2,E3,VERIFICADO_PLANO_CURSO_2026,"MG012;MG013",,FORTE,"Mapas, gráficos, síntese de dados e desigualdades verificados no 9º ano."
N2-E4,N2,E4,VERIFICADO_PLANO_CURSO_2026,"MG014;MG015;MG016",,FORTE,"Água, transformações urbanas e problemáticas das cidades têm cobertura direta."
N2-E5,N2,E5,VERIFICADO_PLANO_CURSO_2026,"MG017;MG018;MG019",,FORTE,"Distribuição populacional, segregação, riscos e desigualdades têm cobertura direta."
N2-E6,N2,E6,VERIFICADO_PLANO_CURSO_2026,MG020,,FORTE,"Papel do Estado e funcionamento dos poderes verificam a base de governança e planejamento institucional."
N2-E7,N2,E7,VERIFICADO_COM_SUPORTE_COMPLEMENTAR,MG021,,COMPLEMENTAR,"A estrutura do Estado está verificada em Geografia; canais e gêneros de participação exigem articulação transversal com TCT/Linguagens e protocolo OCUE."
N2-E8,N2,E8,VERIFICADO_PLANO_CURSO_2026,"MG012;MG013;MG018;MG020;MG022",,INTEGRADORA,"Há base verificada para evidência cartográfica, desigualdade, institucionalidade e produto territorial integrador."
N3-E1,N3,E1,VERIFICADO_PLANO_CURSO_2026,"MG023;MG024",,FORTE,"Fontes, processos, cidade, urbano e usos do território verificados no 1º ano do EM."
N3-E2,N3,E2,VERIFICADO_PLANO_CURSO_2026,"MG025;MG026",,FORTE,"Direitos Humanos, desigualdade, segregação e infraestrutura têm aderência direta."
N3-E3,N3,E3,VERIFICADO_PLANO_CURSO_2026,"MG027;MG028",,FORTE,"Hipóteses, evidências, dados, mapas e tecnologias têm aderência direta."
N3-E4,N3,E4,VERIFICADO_PLANO_CURSO_2026,"MG029;MG030",,FORTE,"Sustentabilidade, resíduos e impactos socioambientais têm aderência direta."
N3-E5,N3,E5,VERIFICADO_PLANO_CURSO_2026,"MG031;MG032;MG039",,FORTE,"Vulnerabilidade, indicadores, desigualdade, segregação e diferenças de infraestrutura são explicitamente trabalhados."
N3-E6,N3,E6,VERIFICADO_PLANO_CURSO_2026,MG033,,FORTE,"Estado, poder, formas e sistemas de governo sustentam a leitura de governança."
N3-E7,N3,E7,VERIFICADO_PLANO_CURSO_2026,"MG034;MG035",,FORTE,"Participação, articulação social, autonomia, diálogo e cidadania são explicitamente mobilizados."
N3-E8,N3,E8,VERIFICADO_PLANO_CURSO_2026,"MG036;MG037;MG038",,INTEGRADORA,"Evidência, proposição de medidas e competência política formam cadeia semântica completa para o Projeto Cidadão Urbano."
