logical_id,grupo,layer_name
L07-G1-UC,UC_AREAS_PROTEGIDAS,IDE:ide_2010_mg_unidades_conservacao_municipais_pol
L07-G1-UC,UC_AREAS_PROTEGIDAS,IDE:ide_2010_mg_unidades_conservacao_estaduais_pol
L07-G1-UC,UC_AREAS_PROTEGIDAS,IDE:ide_2010_mg_unidades_conservacao_federais_pol
L07-G2-CH,HIDROGRAFIA_RECURSOS_HIDRICOS,IDE:ide_1108_mg_circunscricoes_hidrograficas_pol
L07-G3-RH-REST,RESTRICOES_CONDICIONANTES,IDE:ide_2007_mg_restricao_contole_rh_sub_pol
L07-G4-ACR,AREAS_CONTAMINADAS_PASSIVOS,IDE:ide_1902_mg_areas_contaminadas_reabilitadas_pto
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area1_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area2_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area3_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area4_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area5_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area6_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area7_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area8_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area9_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area10_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area11_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area12_pol
L07-G5-USO,USO_COBERTURA,IDE:ide_210603_mg_uso_cobertura_mapcar_area13_pol
