tema_codigo,tema_nome,descricao_pedagogica,ods_sugeridos
HABITACAO_REURB,Habitação e regularização fundiária,"Moradia, segurança da posse, urbanização e regularização do território.","1;10;11"
USO_OCUPACAO_SOLO,Uso e ocupação do solo,"Formas de ocupação, compatibilidade de usos, adensamento e organização territorial.","9;11;15"
MOBILIDADE_ACESSIBILIDADE,Mobilidade e acessibilidade,"Deslocamentos, transporte, calçadas, travessias, acessibilidade universal e conectividade viária.","3;9;10;11"
AGUA_ESGOTO,Água e esgotamento sanitário,"Abastecimento, qualidade da água, coleta e tratamento de esgoto.","3;6;11"
DRENAGEM_ALAGAMENTOS,Drenagem e alagamentos,"Escoamento das águas pluviais, impermeabilização, enchentes e pontos de alagamento.","6;11;13"
RESIDUOS_LIMPEZA,Resíduos e limpeza urbana,"Coleta, descarte, reciclagem, limpeza urbana e consumo responsável.","3;11;12"
MEIO_AMBIENTE_AREAS_VERDES,Meio ambiente e áreas verdes,"Vegetação, arborização, cursos d'água, biodiversidade e qualidade ambiental urbana.","3;11;13;15"
RISCOS_CLIMA,Riscos urbanos e clima,"Deslizamentos, inundações, ondas de calor e outros riscos associados à ocupação e ao clima.","3;11;13"
ESPACO_PUBLICO_LAZER,Espaço público esporte e lazer,"Praças, parques, áreas de convivência, esporte e uso coletivo.","3;10;11"
EQUIPAMENTOS_SERVICOS,Equipamentos e serviços públicos,"Acesso territorial a educação, saúde, assistência e demais equipamentos e serviços.","3;4;10;11"
PATRIMONIO_PAISAGEM,Patrimônio cultura e paisagem,"Memória, patrimônio material e imaterial, identidade e paisagem urbana.","4;11"
ENERGIA_ILUMINACAO,Energia e iluminação pública,"Acesso à energia, eficiência e condições de iluminação dos espaços urbanos.","7;11"
DESIGUALDADES_TERRITORIAIS,Desigualdades territoriais,"Diferenças de infraestrutura, oportunidades, acesso e qualidade urbana entre territórios.","1;5;10;11"
ECONOMIA_TRABALHO_LOCAL,Economia e trabalho local,"Atividades econômicas, trabalho, centralidades e oportunidades no território.","8;9;10;11"
GOVERNANCA_PARTICIPACAO,Governança e participação,"Acesso à informação, participação popular, conselhos, audiências, protocolos e acompanhamento público.","11;16;17"
CONECTIVIDADE_INOVACAO,Conectividade inovação e cidade inteligente,"Inclusão digital, acesso à tecnologia, dados e soluções urbanas inovadoras.","4;9;10;11;17"
