direito_dever_codigo,categoria_nome,tipo_base,descricao_pedagogica
DD01,Cidade sustentável,AMBOS,"Compreender a cidade como espaço coletivo que deve funcionar de forma social e ambientalmente responsável."
DD02,Moradia e uso responsável do território,AMBOS,"Relacionar condições adequadas de moradia ao uso responsável do solo e à convivência urbana."
DD03,Mobilidade e acessibilidade,AMBOS,"Reconhecer condições de deslocamento seguro e inclusivo e comportamentos que preservam a circulação coletiva."
DD04,Saneamento e saúde urbana,AMBOS,"Relacionar água, esgoto, drenagem, resíduos e higiene coletiva à qualidade de vida."
DD05,Meio ambiente urbano,AMBOS,"Reconhecer proteção ambiental e deveres de cuidado com rios, áreas verdes, fauna, flora e espaços coletivos."
DD06,Espaço público e convivência,AMBOS,"Reconhecer o uso compartilhado dos espaços públicos e deveres de cuidado, respeito e preservação."
DD07,Acesso a equipamentos e serviços,AMBOS,"Investigar como equipamentos e serviços públicos se distribuem e são utilizados no território."
DD08,Patrimônio memória e paisagem,AMBOS,"Valorizar referências culturais, históricas e paisagísticas e compreender responsabilidades de preservação."
DD09,Igualdade e inclusão territorial,AMBOS,"Identificar barreiras e desigualdades que afetam grupos e territórios de forma diferente."
DD10,Informação e participação cidadã,AMBOS,"Conhecer canais de participação, acesso à informação, diálogo comunitário e acompanhamento de decisões."
DD11,Consumo e responsabilidade coletiva,DEVER,"Relacionar escolhas individuais e coletivas a resíduos, uso de recursos e impactos na cidade."
DD12,Prevenção de riscos e resiliência,AMBOS,"Reconhecer riscos urbanos, comportamentos preventivos e ações coletivas de adaptação e resiliência."
