termo_codigo,termo,definicao_operacional,uso_pedagogico_permitido,uso_indevido_evitar,conceitos_relacionados,fonte_base,niveis_aplicaveis,status
GL001,Cidade,"Sistema territorial vivido e administrado em que pessoas, atividades, infraestrutura, ambiente, normas e relações sociais se articulam.","Analisar funções, relações e problemas urbanos em múltiplas dimensões.","Reduzir cidade ao perímetro construído ou a uma lista de equipamentos.",território;cidade sustentável;política urbana,EC_ART2;OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL002,Território,"Recorte espacial produzido por relações sociais, usos, poderes, identidades e condições materiais, adotado no OCUE como unidade de observação contextualizada.","Usar com escala e delimitação explícitas.","Tratar território como área neutra ou presumir que dado municipal descreve o bairro.",escala;mapa;cidade,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL003,Lugar,"Espaço de vivência e experiência cotidiana a partir do qual o estudante reconhece relações, usos e transformações.","Usar como ponto de partida situado para observação.","Transformar experiência individual em conclusão geral sobre o território.",território;paisagem;observação cidadã,OCUE_ONTOLOGIA;BNCC,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL004,Paisagem,"Conjunto de elementos e marcas perceptíveis do espaço que permite observar permanências e transformações ao longo do tempo.","Usar com comparação temporal e registro de evidências.","Inferir causas apenas pela aparência observada.",lugar;território;evidência,OCUE_ONTOLOGIA;BNCC,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL005,Cidadania,"Exercício de direitos, responsabilidades e participação na vida coletiva, com capacidade progressiva de compreender, argumentar, propor e acompanhar questões públicas.","Usar em atividades de participação responsável e informada.","Equiparar cidadania a militância partidária ou mera obediência.",direito;dever;participação social,BNCC;OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL006,Direito,"Posição ou garantia reconhecida pelo ordenamento e trabalhada pedagogicamente no OCUE em conexão com condições de vida, cidade e participação.","Usar de forma acessível distinguindo educação cidadã de parecer jurídico.","Declarar violação ou consequência jurídica sem base normativa e análise competente.",dever;cidadania;cidade sustentável,CF88;EC_ART2;OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL007,Dever,"Responsabilidade jurídica, cívica ou coletiva relacionada ao respeito às pessoas, ao território, aos bens comuns e às regras de convivência.","Conectar direitos a responsabilidades proporcionais e contextualizadas.","Atribuir ao estudante dever que seja competência do poder público ou responsabilidade técnica de terceiros.",direito;bem comum;cidadania,BNCC;OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL008,Bem comum,"Referência ao interesse coletivo e às condições que favorecem convivência, segurança, bem-estar e equilíbrio ambiental.","Usar como critério de reflexão sobre escolhas e impactos coletivos.","Apresentar como conceito que elimina conflitos legítimos ou direitos individuais.",cidade sustentável;governança;função social da cidade,EC_ART1;EC_ART2,N2;N3,VERIFICADO_ESTRUTURAL
GL009,Função social da cidade,"Princípio orientador da política urbana ligado ao pleno desenvolvimento das funções sociais da cidade e ao bem-estar de seus habitantes.","Explicar por que a cidade deve ser planejada em benefício coletivo.","Criar lista fechada de funções ou concluir ilegalidade concreta apenas com o princípio.",política urbana;cidade sustentável;planejamento urbano,CF88_ART182;EC_ART2,N2;N3,VERIFICADO_ESTRUTURAL
GL010,Função social da propriedade urbana,"Condição constitucional segundo a qual a propriedade urbana atende às exigências fundamentais de ordenação da cidade expressas no plano diretor.","Usar no N3 ou introdutoriamente no N2 com referência ao plano diretor.","Concluir cumprimento ou descumprimento em imóvel específico sem análise normativa e factual.",plano diretor;uso do solo;função social da cidade,CF88_ART182,N2;N3,VERIFICADO_ESTRUTURAL
GL011,Cidade sustentável,"Referência do Estatuto da Cidade que conecta terra urbana, moradia, saneamento, infraestrutura, transporte, serviços, trabalho e lazer para presentes e futuras gerações.","Usar como síntese multidimensional para conectar temas urbanos e ODS.","Tratar sustentabilidade apenas como questão ambiental.",função social da cidade;ODS;bem comum,EC_ART2,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL012,Observação cidadã,"Registro situado de condição percebida no território por estudante ou comunidade, com data, contexto e limites explícitos.","Usar como camada participativa separada das bases oficiais.","Chamar observação de laudo, diagnóstico técnico ou estatística representativa.",evidência;fonte;território,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
