relacao_id,niveis_aplicaveis,eixo_codigo,tema_ocue_codigo,direito_dever_codigo,ods_numero,etapa_ciclo,forca_relacao,justificativa,fonte_origem,status
SM001,N1;N2;N3,E1,USO_OCUPACAO_SOLO,DD01,11,CONHECER,FORTE,Estrutura territorial e função coletiva da cidade.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM002,N1;N2;N3,E1,PATRIMONIO_PAISAGEM,DD08,11,OBSERVAR,FORTE,Paisagem e patrimônio são referências do pertencimento e da preservação.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM003,N1;N2;N3,E1,ECONOMIA_TRABALHO_LOCAL,DD01,8,OBSERVAR,COMPLEMENTAR,Trabalho e centralidades ajudam a compreender como a cidade funciona e se transforma.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM004,N1;N2;N3,E2,HABITACAO_REURB,DD02,11,CONHECER,FORTE,"Moradia, regularização e uso responsável do território materializam direitos e responsabilidades urbanas.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM005,N1;N2;N3,E2,USO_OCUPACAO_SOLO,DD01,11,CLASSIFICAR,FORTE,O uso do solo é relacionado ao bem coletivo e à cidade sustentável.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM006,N1;N2;N3,E2,GOVERNANCA_PARTICIPACAO,DD10,16,CLASSIFICAR,FORTE,"Direitos e deveres são conectados a informação, instituições e participação cidadã.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM007,N1;N2;N3,E3,CONECTIVIDADE_INOVACAO,DD10,4,OBSERVAR,FORTE,"Tecnologia e informação apoiam registro, leitura e comunicação de evidências.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM008,N1;N2;N3,E3,DESIGUALDADES_TERRITORIAIS,DD09,10,MAPEAR,FORTE,Mapeamento de diferenças territoriais sustenta leitura de desigualdades sem extrapolação indevida.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM009,N1;N2;N3,E3,CONECTIVIDADE_INOVACAO,DD10,17,CLASSIFICAR,COMPLEMENTAR,"Dados e meios digitais apoiam classificação, transparência e cooperação.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM010,N1;N2;N3,E4,MOBILIDADE_ACESSIBILIDADE,DD03,11,OBSERVAR,FORTE,Deslocamento seguro e inclusivo é componente verificável da qualidade urbana.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM011,N1;N2;N3,E4,MOBILIDADE_ACESSIBILIDADE,DD03,9,MAPEAR,COMPLEMENTAR,Infraestrutura de mobilidade pode ser representada territorialmente e relacionada à conectividade urbana.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM012,N1;N2;N3,E4,AGUA_ESGOTO,DD04,6,MAPEAR,FORTE,Abastecimento e esgotamento são sistemas territoriais de saneamento e saúde urbana.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM013,N1;N2;N3,E4,DRENAGEM_ALAGAMENTOS,DD04,13,CLASSIFICAR,FORTE,"Drenagem e alagamentos conectam saneamento, ocupação e adaptação climática.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM014,N1;N2;N3,E4,RESIDUOS_LIMPEZA,DD11,12,CLASSIFICAR,FORTE,"Resíduos conectam consumo, responsabilidade coletiva e funcionamento urbano.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM015,N1;N2;N3,E4,MEIO_AMBIENTE_AREAS_VERDES,DD05,15,OBSERVAR,FORTE,Áreas verdes e biodiversidade urbana exigem observação e cuidado ambiental.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM016,N1;N2;N3,E4,MEIO_AMBIENTE_AREAS_VERDES,DD05,3,OBSERVAR,COMPLEMENTAR,Qualidade ambiental urbana influencia condições de saúde e bem-estar.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM017,N1;N2;N3,E4,ESPACO_PUBLICO_LAZER,DD06,11,MAPEAR,FORTE,"Espaços públicos podem ser localizados, avaliados e relacionados à convivência.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM018,N1;N2;N3,E4,EQUIPAMENTOS_SERVICOS,DD07,4,MAPEAR,FORTE,Distribuição territorial de equipamentos permite investigar acesso a serviços essenciais.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM019,N1;N2;N3,E4,ENERGIA_ILUMINACAO,DD07,7,OBSERVAR,FORTE,Energia e iluminação são serviços urbanos observáveis ligados ao acesso e à qualidade do espaço.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM020,N1;N2;N3,E5,DESIGUALDADES_TERRITORIAIS,DD09,10,MAPEAR,FORTE,Diferenças de infraestrutura e acesso são analisadas como padrões territoriais.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM021,N1;N2;N3,E5,DESIGUALDADES_TERRITORIAIS,DD09,5,CLASSIFICAR,COMPLEMENTAR,A classificação pode reconhecer impactos desiguais entre grupos sem estigmatização.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM022,N1;N2;N3,E5,RISCOS_CLIMA,DD12,13,CLASSIFICAR,FORTE,"Risco e resiliência exigem identificar ocorrência, exposição e respostas preventivas.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM023,N1;N2;N3,E5,MOBILIDADE_ACESSIBILIDADE,DD03,10,PROPOR,FORTE,Barreiras de mobilidade podem fundamentar propostas de inclusão territorial.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM024,N1;N2;N3,E5,HABITACAO_REURB,DD02,1,PROPOR,COMPLEMENTAR,Vulnerabilidade habitacional pode ser relacionada a propostas sem presumir diagnóstico jurídico.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM025,N1;N2;N3,E6,USO_OCUPACAO_SOLO,DD01,11,CONHECER,FORTE,Planejamento e ordenamento do uso do solo estruturam a política urbana.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM026,N1;N2;N3,E6,GOVERNANCA_PARTICIPACAO,DD10,16,CLASSIFICAR,FORTE,"Governança exige identificar competência, informação e instâncias institucionais.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM027,N1;N2;N3,E6,EQUIPAMENTOS_SERVICOS,DD07,11,PROPOR,FORTE,Planejamento de serviços pode gerar propostas baseadas em distribuição territorial observada.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM028,N1;N2;N3,E6,HABITACAO_REURB,DD02,11,PROPOR,FORTE,Moradia e regularização podem ser tratadas como temas de política urbana e interesse social.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM029,N1;N2;N3,E7,GOVERNANCA_PARTICIPACAO,DD10,16,PROPOR,FORTE,Propostas cidadãs devem ser fundamentadas e dirigidas ao canal institucional adequado.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM030,N1;N2;N3,E7,GOVERNANCA_PARTICIPACAO,DD10,16,PARTICIPAR,FORTE,Participação converte proposta fundamentada em diálogo ou encaminhamento democrático.,ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM031,N1;N2;N3,E7,CONECTIVIDADE_INOVACAO,DD10,17,ACOMPANHAR,COMPLEMENTAR,"Meios digitais podem apoiar transparência, registro e acompanhamento da resposta pública.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
SM032,N1;N2;N3,E8,GOVERNANCA_PARTICIPACAO,DD10,16,PARTICIPAR,INTEGRADORA,"O projeto integrador articula evidência, proposta, participação e responsabilidade institucional.",ontologia_semantica_v1_0+catalogos_OCUE_v1_0,VERIFICADO_ESTRUTURAL
